Index,GridPowerOut,p_netzeinspeisung_12000Wh_eigenverbrauch,p_netzbezug_12000Wh_eigenverbrauch,p_netzeinspeisung_12000Wh_netzdienlich,p_netzbezug_12000Wh_netzdienlich,Leere Spalte,Liste_Einspeisungen_abfallend,Leistung_Einspeisungen_abfallend,Liste_Speicherzeitpunkte,Leistung_Speicherzeitpunkte
2021-05-26 00:00:00,2.7983333333333333,2.7983333333333333,63.70166666666666,2.7983333333333333,63.70166666666666,,2021-05-26 10:16:00,880.91,2021-05-26 10:16:00,880.91
2021-05-26 00:01:00,1.1766666666666665,1.1766666666666665,62.794999999999995,1.1766666666666665,62.794999999999995,,2021-05-26 10:28:00,820.98,2021-05-26 10:28:00,820.98
2021-05-26 00:02:00,1.1733333333333333,1.1733333333333333,64.12166666666667,1.1733333333333333,64.12166666666667,,2021-05-26 10:35:00,787.18,2021-05-26 10:35:00,787.18
2021-05-26 00:03:00,0.0,0.0,66.305,0.0,66.305,,2021-05-26 13:46:00,732.237,2021-05-26 13:46:00,732.237
2021-05-26 00:04:00,0.0,0.0,66.97,0.0,66.97,,2021-05-26 13:02:00,732.053,2021-05-26 13:02:00,732.053
2021-05-26 00:05:00,0.0,0.0,66.43666666666667,0.0,66.43666666666667,,2021-05-26 12:11:00,729.705,2021-05-26 12:11:00,729.705
2021-05-26 00:06:00,0.0,0.0,67.62333333333333,0.0,67.62333333333333,,2021-05-26 12:10:00,728.628,2021-05-26 12:10:00,728.628
2021-05-26 00:07:00,0.0,0.0,68.54333333333334,0.0,68.54333333333334,,2021-05-26 10:18:00,725.155,2021-05-26 10:18:00,725.155
2021-05-26 00:08:00,0.0,0.0,69.66166666666666,0.0,69.66166666666666,,2021-05-26 12:24:00,695.07,2021-05-26 12:24:00,695.07
2021-05-26 00:09:00,0.0,0.0,70.945,0.0,70.945,,2021-05-26 11:12:00,692.418,2021-05-26 11:12:00,692.418
2021-05-26 00:10:00,0.0,0.0,71.54666666666667,0.0,71.54666666666667,,2021-05-26 10:12:00,691.57,2021-05-26 10:12:00,691.57
2021-05-26 00:11:00,0.0,0.0,72.04833333333333,0.0,72.04833333333333,,2021-05-26 12:58:00,685.192,2021-05-26 12:58:00,685.192
2021-05-26 00:12:00,0.0,0.0,72.66,0.0,72.66,,2021-05-26 10:37:00,678.017,2021-05-26 10:37:00,678.017
2021-05-26 00:13:00,0.0,0.0,74.33833333333334,0.0,74.33833333333334,,2021-05-26 13:09:00,676.715,2021-05-26 13:09:00,676.715
2021-05-26 00:14:00,0.0,0.0,75.0,0.0,75.0,,2021-05-26 10:11:00,668.478,2021-05-26 10:11:00,668.478
2021-05-26 00:15:00,0.0,0.0,75.23166666666667,0.0,75.23166666666667,,2021-05-26 11:06:00,657.738,2021-05-26 11:06:00,657.738
2021-05-26 00:16:00,0.0,0.0,75.96166666666666,0.0,75.96166666666666,,2021-05-26 12:16:00,654.227,2021-05-26 12:16:00,654.227
2021-05-26 00:17:00,0.0,0.0,76.51333333333334,0.0,76.51333333333334,,2021-05-26 11:13:00,644.498,2021-05-26 11:13:00,644.498
2021-05-26 00:18:00,0.0,0.0,59.190000000000005,0.0,59.190000000000005,,2021-05-26 14:11:00,643.797,2021-05-26 14:11:00,643.797
2021-05-26 00:19:00,0.0,0.0,41.295,0.0,41.295,,2021-05-26 12:08:00,639.837,2021-05-26 12:08:00,639.837
2021-05-26 00:20:00,0.0,0.0,9.415,0.0,9.415,,2021-05-26 14:19:00,638.932,2021-05-26 14:19:00,638.932
2021-05-26 00:21:00,0.0,0.0,9.766666666666666,0.0,9.766666666666666,,2021-05-26 10:36:00,638.848,2021-05-26 10:36:00,638.848
2021-05-26 00:22:00,0.0,0.0,10.058333333333334,0.0,10.058333333333334,,2021-05-26 14:20:00,637.378,2021-05-26 14:20:00,637.378
2021-05-26 00:23:00,0.0,0.0,9.631666666666666,0.0,9.631666666666666,,2021-05-26 13:15:00,635.837,2021-05-26 13:15:00,635.837
2021-05-26 00:24:00,0.0,0.0,10.011666666666667,0.0,10.011666666666667,,2021-05-26 10:26:00,630.483,2021-05-26 10:26:00,630.483
2021-05-26 00:25:00,0.0,0.0,9.696666666666665,0.0,9.696666666666665,,2021-05-26 12:09:00,629.997,2021-05-26 12:09:00,629.997
2021-05-26 00:26:00,0.0,0.0,9.953333333333333,0.0,9.953333333333333,,2021-05-26 10:10:00,623.317,2021-05-26 10:10:00,623.317
2021-05-26 00:27:00,0.0,0.0,10.57,0.0,10.57,,2021-05-26 11:11:00,611.322,2021-05-26 11:11:00,611.322
2021-05-26 00:28:00,0.0,0.0,12.276666666666666,0.0,12.276666666666666,,2021-05-26 14:12:00,592.318,2021-05-26 14:12:00,592.318
2021-05-26 00:29:00,0.0,0.0,12.629999999999999,0.0,12.629999999999999,,2021-05-26 13:11:00,587.832,2021-05-26 13:11:00,587.832
2021-05-26 00:30:00,0.0,0.0,13.461666666666666,0.0,13.461666666666666,,2021-05-26 15:03:00,577.587,2021-05-26 15:03:00,577.587
2021-05-26 00:31:00,0.0,0.0,13.586666666666666,0.0,13.586666666666666,,2021-05-26 10:42:00,574.143,2021-05-26 10:42:00,574.143
2021-05-26 00:32:00,0.0,0.0,12.533333333333333,0.0,12.533333333333333,,2021-05-26 10:09:00,571.898,2021-05-26 10:09:00,571.898
2021-05-26 00:33:00,0.0,0.0,13.149999999999999,0.0,13.149999999999999,,2021-05-26 10:30:00,569.22,2021-05-26 10:30:00,569.22
2021-05-26 00:34:00,0.0,0.0,13.21,0.0,13.21,,2021-05-26 10:38:00,568.365,2021-05-26 10:38:00,568.365
2021-05-26 00:35:00,0.0,0.0,13.941666666666666,0.0,13.941666666666666,,2021-05-26 13:49:00,542.483,2021-05-26 13:49:00,542.483
2021-05-26 00:36:00,0.0,0.0,13.654999999999998,0.0,13.654999999999998,,2021-05-26 13:03:00,541.022,2021-05-26 13:03:00,541.022
2021-05-26 00:37:00,0.0,0.0,13.906666666666666,0.0,13.906666666666666,,2021-05-26 08:36:00,536.207,2021-05-26 08:36:00,536.207
2021-05-26 00:38:00,0.0,0.0,12.336666666666666,0.0,12.336666666666666,,2021-05-26 10:08:00,530.302,2021-05-26 10:08:00,530.302
2021-05-26 00:39:00,0.0,0.0,12.905,0.0,12.905,,2021-05-26 14:13:00,528.477,2021-05-26 14:13:00,528.477
2021-05-26 00:40:00,0.0,0.0,13.098333333333333,0.0,13.098333333333333,,2021-05-26 11:05:00,526.645,2021-05-26 11:05:00,526.645
2021-05-26 00:41:00,0.0,0.0,13.296666666666667,0.0,13.296666666666667,,2021-05-26 12:52:00,525.012,2021-05-26 12:52:00,525.012
2021-05-26 00:42:00,0.0,0.0,14.044999999999998,0.0,14.044999999999998,,2021-05-26 08:35:00,512.257,2021-05-26 08:35:00,512.257
2021-05-26 00:43:00,0.0,0.0,13.82,0.0,13.82,,2021-05-26 10:34:00,494.767,2021-05-26 10:34:00,494.767
2021-05-26 00:44:00,0.0,0.0,14.586666666666666,0.0,14.586666666666666,,2021-05-26 10:29:00,494.623,2021-05-26 10:29:00,494.623
2021-05-26 00:45:00,0.0,0.0,14.68,0.0,14.68,,2021-05-26 13:13:00,494.198,2021-05-26 13:13:00,494.198
2021-05-26 00:46:00,0.0,0.0,15.059999999999999,0.0,15.059999999999999,,2021-05-26 12:19:00,493.88,2021-05-26 12:19:00,493.88
2021-05-26 00:47:00,0.0,0.0,15.678333333333335,0.0,15.678333333333335,,2021-05-26 11:03:00,482.058,2021-05-26 11:03:00,482.058
